0ffeda696bba402284a382ab877bb9e7,0,Q7432
0ffeda696bba402284a382ab877bb9e7,2,Q4167410
0ffeda696bba402284a382ab877bb9e7,7,Q24564698
0ffeda696bba402284a382ab877bb9e7,8,Q5151
0ffeda696bba402284a382ab877bb9e7,10,Q3245245
0ffeda696bba402284a382ab877bb9e7,11,Q3245245
0ffeda696bba402284a382ab877bb9e7,14,Q677
0ffeda696bba402284a382ab877bb9e7,15,Q731
0ffeda696bba402284a382ab877bb9e7,16,Q1993436
0ffeda696bba402284a382ab877bb9e7,17,Q706
0ffeda696bba402284a382ab877bb9e7,18,Q19620
0ffeda696bba402284a382ab877bb9e7,19,Q19636
0ffeda696bba402284a382ab877bb9e7,20,Q688
0ffeda696bba402284a382ab877bb9e7,23,Q11466
0ffeda696bba402284a382ab877bb9e7,25,Q34740
0ffeda696bba402284a382ab877bb9e7,26,Q108866087
0ffeda696bba402284a382ab877bb9e7,28,Q11500
0ffeda696bba402284a382ab877bb9e7,31,Q660
0ffeda696bba402284a382ab877bb9e7,32,Q658
0ffeda696bba402284a382ab877bb9e7,33,Q11579
0ffeda696bba402284a382ab877bb9e7,34,Q19636
0ffeda696bba402284a382ab877bb9e7,35,Q948
0ffeda696bba402284a382ab877bb9e7,36,Q663
0ffeda696bba402284a382ab877bb9e7,37,Q876
0ffeda696bba402284a382ab877bb9e7,38,Q1091
0ffeda696bba402284a382ab877bb9e7,39,Q706
